hparams_hash,learning_rate,layer_sizes,dropout_rates,batch_norm,weight_decay,batch_size,leaky_relu_negative_slope,num_epochs,scheduler_mode,scheduler_factor,scheduler_patience,scheduler_threshold,scheduler_cooldown,early_stopping_mode,early_stopping_patience,early_stopping_delta,val_loss,val_accuracy,computation_time,final_num_epochs,lr_reduction_epochs,log_filename
8ea52288255b0c3b894b92b2490e7d1e,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3451493989271573,90.57,359.9936864376068,32,"[13, 19, 30]",training_log_8ea52288255b0c3b894b92b2490e7d1e.json
14c688cd59a956391e3818d42ff0fc69,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3696112376014898,90.28,123.18409252166748,13,[11],training_log_14c688cd59a956391e3818d42ff0fc69.json
3821c6105d63afefbc24665256c99013,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3680558150076562,90.59,316.5039806365967,32,"[16, 21, 30]",training_log_3821c6105d63afefbc24665256c99013.json
9fffa6f213fbc1c0fbddf8bb9dd2dc08,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3792571378282354,89.96,133.05831098556519,15,[13],training_log_9fffa6f213fbc1c0fbddf8bb9dd2dc08.json
7181084814599af20c0a47930f61c756,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3715464742500571,90.21,161.6954369544983,18,"[10, 16]",training_log_7181084814599af20c0a47930f61c756.json
df7f6e02c6d2b114962a666e7cda0fde,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",1e-05,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3439619656793773,90.37,321.1265983581543,23,[21],training_log_df7f6e02c6d2b114962a666e7cda0fde.json
ff85ebe53a9586e0edb3dfd0d140f2bb,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",1e-05,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3657682346172631,90.05,336.21301651000977,24,"[15, 22]",training_log_ff85ebe53a9586e0edb3dfd0d140f2bb.json
34e8e631b4afd2d081acf3efb3bd2ed1,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",1e-05,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.34982570750525777,90.86,269.3527522087097,24,"[10, 17, 22]",training_log_34e8e631b4afd2d081acf3efb3bd2ed1.json
79980bafad1545476e87b682c9c2ec59,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",1e-05,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3549898155390645,90.37,269.5160255432129,24,"[9, 16, 22]",training_log_79980bafad1545476e87b682c9c2ec59.json
bcbd783037178c1d7a977fd21897d3a9,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",1e-05,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.35387034659647637,90.68,185.01197385787964,19,"[9, 17]",training_log_bcbd783037178c1d7a977fd21897d3a9.json
