,0,1,2,3,4,5,6,7,8,9
0,842,4,3,1,39,74,6,14,16,1
1,1,854,19,3,17,33,32,1,19,21
2,6,9,852,34,9,50,9,6,11,14
3,0,9,34,909,1,42,0,1,1,3
4,20,17,16,13,854,37,11,8,12,12
5,1,5,24,7,4,944,4,0,3,8
6,5,15,52,12,26,35,848,2,2,3
7,19,11,35,13,65,37,47,722,28,23
8,10,35,16,45,13,31,2,0,842,6
9,6,22,28,7,27,22,12,4,13,859
